configuration,pop_mut,scenario,mutation_rate_a,mutation_rate_b,population_size,comparison,a_replicate,b_replicate,variance_leading,variance_overall
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30426,30482,8.604489795918367,26.338367346938774
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30421,30491,14.303673469387755,36.842448979591836
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30462,30418,11.60204081632653,31.611836734693878
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30413,30471,12.122448979591836,34.21061224489796
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30425,30464,8.581224489795918,40.15551020408163
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30423,30480,10.085306122448978,30.166938775510204
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30430,30457,9.62816326530612,31.967755102040815
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30478,30441,11.87795918367347,28.11591836734694
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30422,30493,12.177959183673469,24.61877551020408
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30434,30454,12.009795918367347,39.10367346938776
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30414,30469,9.826938775510206,25.201632653061225
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30436,30453,10.051020408163266,31.995510204081633
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30483,30450,13.440408163265307,32.36571428571428
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30412,30500,10.504489795918367,31.102040816326532
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30443,30497,10.13265306122449,31.22
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30494,30428,14.531020408163265,30.418367346938776
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30495,30439,13.554693877551019,37.36693877551021
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30405,30481,11.761632653061225,34.777142857142856
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-treatment,30485,30402,13.142857142857144,39.7065306122449
DIFF_MUT_1,"1000, 0.01",bFollowsA,0.01,0.03,1000,inter-run,30624,30645,10.718775510204082,63.67387755102041
DIFF_MUT_1,"1000, 0.01",bFollowsA,0.01,0.03,1000,inter-run,30619,30555,8.768979591836734,64.59755102040816
DIFF_MUT_1,"1000, 0.01",bFollowsA,0.01,0.03,1000,inter-run,30581,30579,9.644489795918366,45.15142857142857
DIFF_MUT_1,"1000, 0.01",bFollowsA,0.01,0.03,1000,inter-run,30582,30594,12.040816326530612,46.02285714285714
DIFF_MUT_1,"1000, 0.01",bFollowsA,0.01,0.03,1000,inter-run,30573,30566,7.366938775510205,47.316326530612244
DIFF_MUT_1,"1000, 0.01",bFollowsA,0.01,0.03,1000,inter-run,30551,30580,9.326122448979591,57.10857142857143
DIFF_MUT_1,"1000, 0.01",bFollowsA,0.01,0.03,1000,inter-run,30583,30644,10.65469387755102,74.24857142857142
