configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,fitness_value_cell,fitness_value_organism
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30511,B,40.865,135.845
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30512,A,100.0,134.85
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30512,B,34.85,134.85
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30513,A,100.0,124.83
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30513,B,24.83,124.83
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30514,A,100.0,140.87
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30514,B,40.87,140.87
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30515,A,100.0,135.87
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30515,B,35.87,135.87
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30516,A,95.99,132.83
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30516,B,36.84,132.83
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30517,A,100.0,132.835
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30517,B,32.835,132.835
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30518,A,100.0,136.845
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30518,B,36.845,136.845
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30519,A,100.0,130.845
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30519,B,30.845,130.845
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30520,A,100.0,136.825
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30520,B,36.825,136.825
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30521,A,98.0,136.85
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30521,B,38.85,136.85
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30522,A,100.0,134.85
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30522,B,34.85,134.85
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30523,A,100.0,133.865
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30523,B,33.865,133.865
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30524,A,80.91,117.8
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30524,B,36.89,117.8
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30525,A,98.0,136.865
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30525,B,38.865,136.865
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30526,A,100.0,137.865
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30526,B,37.865,137.865
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30527,A,100.0,135.86
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30527,B,35.86,135.86
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30528,A,100.0,133.845
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30528,B,33.845,133.845
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30529,A,100.0,132.855
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30529,B,32.855,132.855
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30530,A,99.0,132.86
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30530,B,33.86,132.86
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30531,A,100.0,135.87
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30531,B,35.87,135.87
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30532,A,95.985,128.83
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.03,1000,30532,B,32.845,128.83
DIFF_MUT_1,"1000, 0.01, 0.03",bFollowsA,0.01,1000,30533,A,100.0,137.8
