configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,type,value_leading,value_overall,fraction_leading_ben_del_neu,fraction_overall_ben_del_neu,fraction_leading_ben_del_neu_no,fraction_overall_ben_del_neu_no
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10016,A,no_mutation,4995,4995,0,1.0,0,0.999
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10016,B,beneficial,5,6,1.0,1.0,0.001,0.0012
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10016,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10016,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10016,B,no_mutation,4995,4994,0,1.0,0,0.9988
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10017,A,beneficial,3,4,1.0,1.0,0.0006,0.0008
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10017,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10017,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10017,A,no_mutation,4997,4996,0,1.0,0,0.9992
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10017,B,beneficial,3,3,1.0,1.0,0.0006,0.0006
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10017,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10017,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10017,B,no_mutation,4997,4997,0,1.0,0,0.9994
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10018,A,beneficial,6,6,1.0,1.0,0.0012,0.0012
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10018,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10018,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10018,A,no_mutation,4994,4994,0,1.0,0,0.9988
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10018,B,beneficial,6,6,1.0,1.0,0.0012,0.0012
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10018,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10018,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10018,B,no_mutation,4994,4994,0,1.0,0,0.9988
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10019,A,beneficial,5,5,1.0,1.0,0.001,0.001
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10019,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10019,A,neutral,0,0,0.0,0.0,0.0,0.0
