configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,value_leading_ben_del_neu,value_leading_ben_del_neu_no,value_overall_ben_del_neu,value_overall_ben_del_neu_no
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10259,B,100,5000,112,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10260,A,100,5000,107,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10260,B,100,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10261,A,100,5000,114,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10261,B,100,5000,114,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10262,A,100,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10262,B,100,5000,116,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10263,A,100,5000,114,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10263,B,100,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10264,A,100,5000,120,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10264,B,100,5000,110,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10265,A,100,5000,117,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10265,B,100,5000,114,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10266,A,100,5000,103,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10266,B,100,5000,111,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10267,A,100,5000,115,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10267,B,100,5000,115,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10268,A,100,5000,120,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10268,B,100,5000,121,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10269,A,100,5000,111,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10269,B,100,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10270,A,100,5000,109,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10270,B,100,5000,106,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10271,A,100,5000,121,5000
